country,iso,year,GGExp,GGRev,GGExpCh,GGRevCh
Algeria,DZA,2000,1178.122,1578.159,,
Angola,AGO,2000,45.484,48.051,,
Azerbaijan,AZE,2000,0.983,1.001,,
Bahrain,BHR,2000,0.787,1.082,,
Bolivia,BOL,2000,15.223,13.287,,
Botswana,BWA,2000,11.536,14.119,,
Brunei Darussalam,BRN,2000,4.298,5.084,,
Cameroon,CMR,2000,1093.742,1209.65,,
Chad,TCD,2000,203.2,135.43,,
Chile,CHL,2000,9670.135,9377.651,,
Colombia,COL,2000,55106.927,48982.811,,
"Congo, Republic of",COG,2000,583.502,609.388,,
Dem. Rep. of Congo,ZAR,2000,,,,
Ecuador,ECU,2000,4.221,4.4,,
Equatorial Guinea,GNQ,2000,186.337,164.389,,
Gabon,GAB,2000,779.878,1207.598,,
Ghana,GHA,2000,0.806,0.539,,
Guinea,GIN,2000,893,719.8,,
Guyana,GUY,2000,62.471,56.264,,
Indonesia,IDN,2000,231311.551,203045.479,,
Iran,IRN,2000,104703.7,147295.136,,
Iraq,IRQ,2000,,,,
Kazakhstan,KAZ,2000,,568.2,,
Kuwait,KWT,2000,4.23,7.888,,
Libya,LBY,2000,5.415,8.175,,
Malaysia,MYS,2000,99.496,76.004,,
Mali,MLI,2000,407.862,352.282,,
Mauritania,MRT,2000,,63.803,,
Mexico,MEX,2000,1351.317,1157.032,,
Mongolia,MNG,2000,422.65,351.396,,
Myanmar,MMR,2000,591.768,380.907,,
Namibia,NAM,2000,8.233,7.964,,
Nigeria,NGA,2000,1706.562,1986.949,,
Norway,NOR,2000,629.453,858.713,,
Oman,OMN,2000,2.672,3.713,,
Papua New Guinea,PNG,2000,3.071,2.966,,
Peru,PER,2000,38.224,34.503,,
Qatar,QAT,2000,20.293,24.955,,
Russia,RUS,2000,2399.176,2642.381,,
Saudi Arabia,SAU,2000,251.513,295.236,,
Sierra Leone,SLE,2000,317.597,257.534,,
Sudan,SDN,2000,3.499,3.263,,
Suriname,SUR,2000,0.486,0.298,,
Syrian Arab Republic,SYR,2000,259.197,246.311,,
Tanzania,TZA,2000,1220.177,1147.854,,
Timor Leste,TLS,2000,0,0.006,,
Trinidad and Tobago ,TTO,2000,13.576,13.722,,
Turkmenistan,TKM,2000,1.259,1.232,,
United Arab Emirates,ARE,2000,82.407,160.033,,
Uzbekistan,UZB,2000,1272.667,1191.468,,
Venezuela,VEN,2000,22.537,26.081,,
Vietnam,VNM,2000,99751,90749,,
Yemen,YEM,2000,493.826,588.689,,
